"type","horse","CO2"
"SUV",295,353.81205
"SUV",295,193.722
"SUV",295,192.449
"SUV",295,372.5937564
"SUV",295,200.8907203
"SUV",295,385.4714
"SUV",295,217.856
"SUV",295,381.82446
"SUV",295,218.721
"SUV",295,359.61655
"SUV",295,205.242
"SUV",295,360.84485
"SUV",295,206.65
"Car",359,490.51335
"Car",359,271.092
"Car",359,273.12
"Car",359,485.87842
"Car",292,370.22318
"Car",292,224.691
"SUV",283,410.56653
"SUV",283,250.166
"SUV",283,413.62589
"SUV",283,254.34
"SUV",283,254.483
"Car",470,510.55036
"Car",470,281.842
"Car",470,476.38942
"Car",470,256.438
"Car",372,448.19372
"Car",372,253.891
"Car",372,250.826
"Car",370,474.54975
"Car",370,272.198
"Car",707,552.39543
"Car",707,451.583
"Car",707,319.409
"Car",707,551.29889
"Car",707,308.268
"Car",707,438.965
"Car",292,370.3176
"Car",292,205.615
"Car",292,197.456
"Car",292,359.58772
"Car",359,475.1244
"Car",359,258.709
"Car",292,233.399
"Car",292,386.03239
"Car",158,276.59398
"Car",158,276.7576
"Car",158,173.885
"Car",158,174.537
"Car",160,252.42547
"Car",160,170.973
"Car",160,251.5644
"Car",160,170.158
"Car",158,275.18603
"Car",158,171.526
"Car",158,275.79564
"Car",158,172.241
"Car",160,244.4832
"Car",160,156.6
"Car",160,156.6
"Car",160,244.77624
"SUV",184,305.42522
"SUV",184,189.079
"SUV",184,301.18293
"SUV",184,188.301
"SUV",184,311.39393
"SUV",184,200.783
"SUV",184,313.72324
"SUV",184,201.049
"Car",184,178.5453801
"Car",184,311.2107469
"Car",184,308.9534901
"SUV",184,293.52978
"SUV",184,179.039
"SUV",184,302.30642
"SUV",184,182.341
"Truck",290,381.31731
"Truck",290,243.849
"Truck",290,375.10981
"Truck",290,238.933
"Truck",290,399.00969
"Truck",290,258.446
"Truck",290,395.03893
"Truck",290,256.199
"Truck",360,521.0953
"Truck",360,286.133
"Truck",360,283.127
"Car",100,251.08039
"Car",100,182.789
"SUV",160,282.64718
"SUV",160,193.197
"Car",160,192.2496321
"Car",160,291.3358213
"Car",160,269.57371
"Car",160,190.972
"Car",160,270.01731
"Car",160,191.085
"SUV",160,313.90709
"SUV",160,207.737
"Truck",184,339.48839
"Truck",184,233.278
"Truck",184,339.17983
"Truck",184,234.108
"SUV",184,340.20712
"SUV",184,211.04
"Truck",184,252.869
"Truck",184,255.018
"Truck",184,362.1362386
"SUV",184,338.70241
"SUV",184,224.041
"SUV",184,333.12217
"SUV",184,224.901
"SUV",271,346.99261
"SUV",271,229.757
"SUV",271,346.63366
"SUV",271,228.423
"SUV",271,387.8945463
"SUV",271,240.9523569
"SUV",271,382.3387339
"SUV",184,206.9866687
"SUV",184,326.2695587
"SUV",271,340.35304
"SUV",271,219.886
"SUV",271,339.33748
"SUV",271,217.908
"SUV",184,324.29538
"SUV",184,193.09
"SUV",184,321.68836
"SUV",184,194.541
"SUV",271,366.93647
"SUV",271,243.311
"SUV",271,367.29376
"SUV",271,244.28
"Truck",172,340.22632
"Truck",172,236.161
"Truck",360,290.1
"Truck",360,507.89322
"Truck",172,359.7397
"Truck",172,359.7397
"Truck",172,359.7397
"Truck",172,238.769
"Truck",172,238.769
"Truck",172,238.769
"Truck",172,363.5842
"Truck",172,363.5842
"Truck",172,363.5842
"Truck",172,239.86
"Truck",172,239.86
"Truck",172,239.86
"Truck",290,377.9
"Truck",290,249
"Truck",290,268.2230611
"Truck",290,421.9515798
"Truck",360,531.4853879
"Truck",360,319.9102261
"Truck",172,384.45149
"Truck",172,384.45149
"Truck",172,384.45149
"Truck",172,379.14767
"Truck",172,379.14767
"Truck",172,379.14767
"Truck",172,259.406
"Truck",172,259.406
"Truck",172,259.406
"Truck",172,259.268
"Truck",172,259.268
"Truck",172,259.268
"Truck",470,563.07996
"Truck",470,343.854
"Truck",158,204.215
